project_id,greenings_indicator,esrs_standard,esrs_reference,impact_driver,indicator_description,unit,claimed_positive_contribution,value_raw,value_numeric,notes
HOSP-1,S7.P5W,S1,S1-89,Health and Safety,Improvement of H&S for surrounding communities (Yes/No),boolean,True,Yes,,
HOSP-1,S7.LJ9,S1,S1-89,Health and Safety,Project contribution category to H&S,categorical,True,"Contribution to Health Infra, Contribution to Medical Equipment",,
HOSP-1,S7.EJ2,E4,E4-AR34,Biodiversity / NbS,Nature-Based Solutions applied (Yes/No),boolean,True,Yes,,
HOSP-1,S7.P8B,S1,S1-89,Health and Safety,Quantification method for H&S measures,categorical,True,Measures accounted in Proj CAPEX,,
HOSP-1,S7.P8B.1,S1,S1-89,Health and Safety,H&S expenditure as % of project CAPEX,percent,True,2.72,2.72,
HOSP-1,S7.P8B.3,S1,S1-89,Health and Safety,Annual expenditure on H&S measures (USD),monetary,True,,,Not answered
HOSP-1,S7.X4B,S1,S1-89,Health and Safety,Number of people with improved H&S from the project,persons,True,5000000,5000000.0,22y operation; 17 600 consultations/month; 1 650 medical services/month
HOSP-2,S7.P5W,S1,S1-89,Health and Safety,Improvement of H&S for surrounding communities (Yes/No),boolean,True,Yes,,
HOSP-2,S7.LJ9,S1,S1-89,Health and Safety,Project contribution category to H&S,categorical,True,"Contribution to Diagnostics, Consumables, Or Drugs and Medication",,
HOSP-2,S7.EJ2,E4,E4-AR34,Biodiversity / NbS,Nature-Based Solutions applied (Yes/No),boolean,True,No,,
HOSP-2,S7.P8B,S1,S1-89,Health and Safety,Quantification method for H&S measures,categorical,True,Measures accounted in CAPEX and P&L,,
HOSP-2,S7.P8B.1,S1,S1-89,Health and Safety,H&S expenditure as % of project CAPEX,percent,True,100,100.0,
HOSP-2,S7.P8B.3,S1,S1-89,Health and Safety,Annual expenditure on H&S measures (USD),monetary,True,250000000,250000000.0,250 million USD
HOSP-2,S7.X4B,S1,S1-89,Health and Safety,Number of people with improved H&S from the project,persons,True,3000,3000.0,20y operation; 150-200 children/year
HOSP-3,S7.P5W,S1,S1-89,Health and Safety,Improvement of H&S for surrounding communities (Yes/No),boolean,True,Yes,,
HOSP-3,S7.LJ9,S1,S1-89,Health and Safety,Project contribution category to H&S,categorical,True,Contribution to Health Infra,,
HOSP-3,S7.EJ2,E4,E4-AR34,Biodiversity / NbS,Nature-Based Solutions applied (Yes/No),boolean,True,Yes,,
HOSP-3,S7.P8B,S1,S1-89,Health and Safety,Quantification method for H&S measures,categorical,True,Measures accounted in Proj CAPEX and P&L,,
HOSP-3,S7.P8B.1,S1,S1-89,Health and Safety,H&S expenditure as % of project CAPEX,percent,True,100,100.0,
HOSP-3,S7.P8B.3,S1,S1-89,Health and Safety,Annual expenditure on H&S measures (USD),monetary,True,,,Not answered
HOSP-3,S7.X4B,S1,S1-89,Health and Safety,Number of people with improved H&S from the project,persons,True,500000,500000.0,1.8 million patients/year
HYDRO-1,E2.Q8W.A,E1,E1-34a,GHG,Avoided GHG emissions — prior calendar year (tCO2e/yr),tCO2e_yr,False,N/A,,Source shows N/A — plant not yet operational in prior calendar year
HYDRO-1,E2.Q8W.B,E1,E1-34a,GHG,Avoided GHG emissions — first year of operations (tCO2e/yr),tCO2e_yr,True,150000,150000.0,
HYDRO-1,S7.X4B,S1,S1-89,Health and Safety,Number of people with improved H&S from the project,persons,True,15000,15000.0,New/modern equipment; support of departmental hospital
HYDRO-2,E2.Q8W.A,E1,E1-34a,GHG,Avoided GHG emissions — prior calendar year (tCO2e/yr),tCO2e_yr,False,N/A,,Source shows N/A — plant not yet operational in prior calendar year
HYDRO-2,E2.Q8W.B,E1,E1-34a,GHG,Avoided GHG emissions — first year of operations (tCO2e/yr),tCO2e_yr,True,834218.74,834218.74,
HYDRO-2,S7.X4B,S1,S1-89,Health and Safety,Number of people with improved H&S from the project,persons,False,Not a claimed PC,,Not a claimed PC
HYDRO-3,E2.Q8W.A,E1,E1-34a,GHG,Avoided GHG emissions — prior calendar year (tCO2e/yr),tCO2e_yr,True,6126,6126.0,
HYDRO-3,E2.Q8W.B,E1,E1-34a,GHG,Avoided GHG emissions — first year of operations (tCO2e/yr),tCO2e_yr,False,N/A,,Source shows N/A — prior-year figure used for operational plant
HYDRO-3,S7.X4B,S1,S1-89,Health and Safety,Number of people with improved H&S from the project,persons,False,Not a claimed PC,,Not a claimed PC
RAIL-1,E2.Q8W.A,E1,E1-34a,GHG,Avoided GHG emissions — prior calendar year (tCO2e/yr),tCO2e_yr,True,23364,23364.0,
RAIL-1,E4.O5C,E2,E2-28a,Air Pollution,Type of pollution improvement claimed,categorical,True,Improved Air Quality,,
RAIL-1,E4.2MB.1,E2,E2-39a,Air Pollution,Pollution-prevention measure as % of project CAPEX,percent,True,<1,,Less than 1% of CAPEX
RAIL-1,E4.T9A,E2,E2-39a,Air Pollution,Number of people impacted by pollution reduction,persons,True,150000,150000.0,
RAIL-1,R5.V4H.1,E1,E1-69a,Climate Adaptation,Domain in which resilience is improved,categorical,True,Critical infrastructure,,
RAIL-1,R5.B6D.1,E1,E1-69a,Climate Adaptation,Resilience measure as % of project CAPEX,percent,True,<5,,Less than 5% of CAPEX
RAIL-1,R5.U2X.A,E1,E1-69a,Climate Adaptation,Number of people benefiting from resilience measure,persons,True,5500000,5500000.0,5.5 million people/year
RAIL-2,E2.Q8W.A,E1,E1-34a,GHG,Avoided GHG emissions — prior calendar year (tCO2e/yr),tCO2e_yr,True,130000,130000.0,
RAIL-2,E4.O5C,E2,E2-28a,Air Pollution,Type of pollution improvement claimed,categorical,False,,,Not a claimed PC
RAIL-2,R5.V4H.1,E1,E1-69a,Climate Adaptation,Domain in which resilience is improved,categorical,False,,,Not a claimed PC
RAIL-3,E2.Q8W.A,E1,E1-34a,GHG,Avoided GHG emissions — prior calendar year (tCO2e/yr),tCO2e_yr,True,90000,90000.0,
RAIL-3,E4.O5C,E2,E2-28a,Air Pollution,Type of pollution improvement claimed,categorical,False,,,Not a claimed PC
RAIL-3,R5.V4H.1,E1,E1-69a,Climate Adaptation,Domain in which resilience is improved,categorical,False,,,Not a claimed PC
